	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
227	RB_17_10_HFH73BBXY	0.27619934792734047	0.009682539682837036	47.0	RB_17	RB	0.27073837739288975	0.28258887	0.29170465
228	RB_17_14_HFH73BBXY	0.28416588124410935	0.010802114188543894	72.0	RB_17	RB	0.2789425706472197	0.29079306	0.27484047
229	RB_17_15_HFH73BBXY	0.2494736842105263	0.008880714765745756	294.0	RB_17	RB	0.2452142206016409	0.29261622	0.3500456
230	RB_17_16_HFH73BBXY	0.2592592592592593	0.008669528985093152	34.0	RB_17	RB	0.25752051048313584	0.26298997	0.27073836
231	RB_17_17_HFH73BBXY	0.26363205310573734	0.008227325937282164	85.0	RB_17	RB	0.26207839562443025	0.27073836	0.29216045
232	RB_17_1_HFH73BBXY	0.28564771668219946	0.009331801985125399	48.0	RB_17	RB	0.28213309024612576	0.28805834	0.27939835
233	RB_17_20_HFH73BBXY	0.2941176470588235	0.008524509794440006	52.0	RB_17	RB	0.29033728350045573	0.3012762	0.28714678
234	RB_17_21_HFH73BBXY	0.2614250614250614	0.009327845407935326	159.0	RB_17	RB	0.25113947128532366	0.27164996	0.31494987
235	RB_17_23_HFH73BBXY	0.2949136724218385	0.009965588031203475	51.0	RB_17	RB	0.2921604375569735	0.29899725	0.31130356
236	RB_17_24_HFH73BBXY	0.3133270321361059	0.009209562935003891	78.0	RB_17	RB	0.309024612579763	0.3176846	0.30218777
237	RB_17_25_HFH73BBXY	0.27109004739336495	0.009599868740311863	84.0	RB_17	RB	0.2634457611668186	0.2784868	0.29899725
238	RB_17_26_HFH73BBXY	0.30289123451124367	0.009834495330814192	15.0	RB_17	RB	0.30173199635369186	0.30355516	0.30765724
239	RB_17_27_HFH73BBXY	0.29246607393542345	0.010493099700552205	57.0	RB_17	RB	0.28805834092980853	0.2976299	0.28486782
240	RB_17_28_HFH73BBXY	0.29384328358208955	0.010587827773945065	50.0	RB_17	RB	0.29261622607110305	0.30036464	0.3099362
241	RB_17_29_HFH73BBXY	0.2634815515610217	0.009479501732099436	80.0	RB_17	RB	0.2611668185961714	0.27620783	0.2538742
242	RB_17_2_HFH73BBXY	0.27982750359367514	0.009719762228629846	107.0	RB_17	RB	0.2716499544211486	0.29398358	0.31494987
243	RB_17_30_HFH73BBXY	0.28452655889145495	0.010116695041958685	29.0	RB_17	RB	0.2835004557885141	0.28805834	0.2807657
244	RB_17_39_HFH73BBXY	0.3112552107457156	0.010500593933097893	35.0	RB_17	RB	0.3067456700091158	0.31449407	0.32224247
245	RB_17_3_HFH73BBXY	0.25116279069767444	0.008642563116563235	44.0	RB_17	RB	0.24840474020054693	0.2588879	0.2661805
246	RB_17_40_HFH73BBXY	0.2840152235965747	0.008918357880737316	92.0	RB_17	RB	0.2807657247037375	0.29443938	0.31403828
247	RB_17_41_HFH73BBXY	0.3003239241092087	0.009405746805840056	33.0	RB_17	RB	0.29671832269826803	0.30446672	0.29580674
248	RB_17_43_HFH73BBXY	0.29636533084808947	0.009663679161971627	48.0	RB_17	RB	0.29443938012762083	0.29945305	0.31175935
249	RB_17_44_HFH73BBXY	0.3199626865671642	0.009871105632786557	50.0	RB_17	RB	0.31677301731996355	0.32360986	0.33546034
250	RB_17_45_HFH73BBXY	0.26357354392892396	0.009914962196623892	168.0	RB_17	RB	0.2538742023701003	0.2812215	0.31996354
251	RB_17_46_HFH73BBXY	0.30776470588235294	0.008742424361407186	69.0	RB_17	RB	0.3030993618960802	0.31449407	0.3295351
252	RB_17_47_HFH73BBXY	0.2617387261738726	0.01024431351028601	43.0	RB_17	RB	0.2584320875113947	0.26891524	0.27620783
253	RB_17_49_HFH73BBXY	0.2732860520094562	0.009674426152186815	79.0	RB_17	RB	0.2693710118505014	0.2807657	0.26344576
254	RB_17_4_HFH73BBXY	0.4091337099811676	0.01008492196476092	70.0	RB_17	RB	0.40474020054694626	0.41431177	0.39608023
255	RB_17_50_HFH73BBXY	0.2945334590009425	0.008847401039287769	72.0	RB_17	RB	0.2889699179580675	0.301732	0.3176846
256	RB_17_5_HFH73BBXY	0.2918032786885246	0.010433105282556742	59.0	RB_17	RB	0.2889699179580675	0.29535097	0.31084776
257	RB_17_6_HFH73BBXY	0.2599905970850964	0.008622811261866684	67.0	RB_17	RB	0.2570647219690064	0.26663628	0.25205106
